image_paths,image_label
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BM18HAS.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AM29HAS.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BM06HAS.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BM07HAFL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BM17HAFL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AM16HAHL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AM06HAHL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AM20HAFR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AM30HAFR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BM31HAHR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BM21HAHR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BF12HAFR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AF28HAHL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BF02HAFR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AF03HAHR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BM14HAS.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AF13HAHR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BF29HAFL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AF35HAFL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AM25HAS.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AF25HAFL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BF24HAHL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BF34HAHL.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BM22HAS.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/AM13HAS.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BF30HAHR.JPG,Happy
/Users/vinayadusumilli/Multimodal-Emotion-AI/data/processed/FaceData/Happy/BF20HAHR.JPG,Happy
